user_id,signal_id,result
5978928248,VLT-8276,Profit
5978928248,VLT-3632,Profit
5978928248,VLT-1153,Profit
5978928248,VLT-1153,Loss
5978928248,VLT-6392,Loss
5978928248,VLT-6392,Profit
5978928248,UNKNOWN,Profit
1157982757,VLT-5937,Profit
1157982757,VLT-5937,Loss
1157982757,VLT-4411,Profit
5978928248,VLT-2811,Profit
5978928248,VLT-2811,Loss
5978928248,VLT-7215,Loss
5978928248,VLT-7215,Profit
5978928248,VLT-7215,Profit
1157982757,VLT-2953,Loss
1157982757,VLT-2953,Loss
1157982757,VLT-2953,Profit
5978928248,VLT-3598,Profit
6072485949,VLT-6955,Profit
6072485949,VLT-6955,Profit
6072485949,VLT-6955,Loss
5978928248,UNKNOWN,Profit
5978928248,VLT-3956,Profit
5978928248,VLT-3956,Loss
6072485949,VLT-9281,Profit
6072485949,VLT-9281,Profit
